TOTAL	1143
FILE	3	notebooks/90_generative_synthesis.ipynb:cell 4
FILE	3	tests/test_infer_rga.py
FILE	3	src/scripts/phase1_1_canonical_cleanup.py
FILE	2	src/scripts/run_phase2_family_a_analysis.py
FILE	6	src/uais/fusion/attention/train_attention_fusion.py
FILE	10	notebooks/40_hybrid_fraud_score.ipynb:cell 1
FILE	4	notebooks/90_generative_synthesis.ipynb:cell 7
FILE	1	tests/test_paper_asset_metadata.py
FILE	1	src/uais/sequence/__init__.py
FILE	1	src/uais/reporting/make_plots.py
FILE	2	src/uais/sequence/evaluate_sequence.py
FILE	1	src/scripts/run_fraud_experiment.py
FILE	1	notebooks/98_task_checklist.ipynb:cell 2
FILE	1	src/uais_v/data/build_feature_tables.py
FILE	15	src/uais_v/data/build_30seq_dataset.py
FILE	2	src/uais/explainability/sequence_explainer.py
FILE	1	notebooks/98_task_checklist.ipynb:cell 4
FILE	4	src/uais/generative/train_vae.py
FILE	13	src/uais/fusion/attention/attention_utils.py
FILE	1	src/orchestration/__init__.py
FILE	85	src/uais/fusion/attention/evaluate_attention_harness.py
FILE	1	notebooks/98_task_checklist.ipynb:cell 9
FILE	1	notebooks/96_reports_preview.ipynb:cell 2
FILE	9	src/scripts/family_d_v2_execute.py
FILE	2	src/uais/explainability/attention_visualizer.py
FILE	1	notebooks/96_reports_preview.ipynb:cell 4
FILE	2	src/uais/recommender/rules.py
FILE	6	src/uais/drift/drift_tabular.py
FILE	1	src/scripts/run_sequence_ablation.py
FILE	1	notebooks/96_reports_preview.ipynb:cell 6
FILE	6	src/uais/nlp/nlp_utils.py
FILE	1	tests/test_phase2_family_b_g3_top_q_gate.py
FILE	2	src/uais/drift/drift_time_series.py
FILE	5	src/uais/anomaly/train_isolation_forest.py
FILE	2	src/scripts/prepare_visa_fusion_benchmark.py
FILE	2	src/scripts/build_metrics_manifest.py
FILE	7	src/uais/ensembles/stacking.py
FILE	8	src/scripts/run_phase2_ks_power_sweep.py
FILE	4	src/uais/anomaly/train_autoencoder.py
FILE	4	src/uais/fusion/build_embeddings.py
FILE	3	src/scripts/family_d_v2_extract_features.py
FILE	32	src/uais/fusion/attention/baselines.py
FILE	1	src/scripts/run_phase2_b_mech_1_inference.py
FILE	15	src/uais/utils/metrics.py
FILE	4	src/scripts/generate_reports.py
FILE	22	deploy/api/main.py
FILE	1	src/elara/certification/risk_dominance.py
FILE	1	notebooks/95_data_quickstart.ipynb:cell 14
FILE	5	src/uais/nlp/train_sentiment_model.py
FILE	10	src/scripts/run_cv_benchmark.py
FILE	1	src/pipeline/ingest.py
FILE	3	src/uais/explainability/domain_contribution.py
FILE	8	src/uais/fusion/train_fusion_meta.py
FILE	2	src/scripts/validate_phase1_1_pdf_claims.py
FILE	2	src/uais/drift/drift_vision.py
FILE	73	src/scripts/run_breakthrough_experiment.py
FILE	1	src/scripts/download_datasets.py
FILE	5	src/uais/explainability/runner.py
FILE	4	src/uais/anomaly/train_ocsvm.py
FILE	2	src/scripts/eval_patchcore3d_baseline.py
FILE	1	tests/conftest.py
FILE	3	src/uais/utils/runtime.py
FILE	2	notebooks/Untitled-1.py
FILE	5	src/scripts/run_phase2_rga_v2_gate_sweep.py
FILE	2	src/uais/fusion/evaluate_fusion.py
FILE	1	deploy/api/auth.py
FILE	4	src/elara/evaluation/prediction_archive.py
FILE	4	src/uais/utils/mlflow_utils.py
FILE	1	tests/test_polarity_calibration.py
FILE	5	src/uais/app/api_schema.py
FILE	1	notebooks/01_eda_fraud.ipynb:cell 12
FILE	5	notebooks/02_eda_cyber.ipynb:cell 1
FILE	4	src/uais/data/split_data.py
FILE	1	notebooks/80_vision_forgery_detection.ipynb:cell 2
FILE	3	notebooks/80_vision_forgery_detection.ipynb:cell 3
FILE	1	notebooks/80_vision_forgery_detection.ipynb:cell 4
FILE	2	tests/test_unsupervised_baselines.py
FILE	3	notebooks/70_nlp_email_anomalies.ipynb:cell 2
FILE	8	src/pipeline/train_models.py
FILE	1	src/scripts/emit_rga_plus_validation_frozen_selection.py
FILE	1	notebooks/70_nlp_email_anomalies.ipynb:cell 3
FILE	1	notebooks/80_vision_forgery_detection.ipynb:cell 6
