model_seed,checkpoint_sha256,conditions,mean_freeze_accuracy,mean_sar_accuracy,mean_oracle_accuracy,sar_minus_freeze,oracle_minus_sar,eata_sar_exact_prediction_cells
0,5974c30af81b3d0af21c93edbeb014297d2cbae5b0ecd76c73a89c7f93a4b964,3,0.5753846153846154,0.5938461538461538,0.5938461538461538,0.018461538461538456,0.0,2
1,8bbae69dbaeb9151a54904f9c2ec5c80f3a8211c4a56243b4859ac061756169a,3,0.5815384615384616,0.5928205128205128,0.6020512820512821,0.011282051282051267,0.009230769230769228,2
2,bddd1bc039c6c6c64ba2aa279afd862564e460baa3993b00a4848c6cb212712a,3,0.5507692307692308,0.5702564102564103,0.5743589743589743,0.019487179487179485,0.004102564102564081,2
3,4d4331fdfd9630876ba866bf731dea106dbd4aa4f1d50253aae67ab856cd6279,3,0.5517948717948719,0.5805128205128205,0.5805128205128205,0.028717948717948694,0.0,2
4,2dee9c8582d7e33448f7aa8636e74607e5bb321fcec0aa779876531671870f21,3,0.5958974358974359,0.6194871794871795,0.6194871794871795,0.0235897435897436,0.0,2
