panel,n,helpful,harmful,tied,adapt_count,freeze_count,abstain_count,regret_kga,regret_best_fixed,point_beats_both,claim_scope,numeric_release_eligible
Office-Home primary,35,23,12,0,0,11,24,0.01582417582417583,0.01582417582417583,False,opened_target_null_diagnostic,True
Office-Home replication,54,35,19,0,1,14,39,0.02150997150997151,0.02172364672364672,True,opened_target_stream_seed_diagnostic,True
iWildCam H-v2,72,9,63,0,0,21,51,0.004102369062102953,0.004102369062102953,False,withheld_invalid_archived_metric_contract_historical_values,False
ImageNet-R,480,383,92,5,165,29,286,0.01496875,0.006359375,False,opened_target_negative_diagnostic,True
Camelyon17 OOD,18,18,0,0,18,0,0,0.0,0.0,False,opened_target_one_sided_diagnostic,True
RxRx1,60,0,60,0,0,60,0,0.0,0.0,False,opened_target_one_sided_diagnostic,True
