cache,path,description,note
score_archive_123,experiments/elara_u/score_archive,123-task .npz score archive (6 detectors x val/test),POINTER - do not duplicate
realiad_d3_score_cache,experiments/fusion/realiad_d3_score_cache,RealIAD-D3 multimodal score cache,POINTER - do not duplicate
realiad_natdeg_score_cache,experiments/fusion/realiad_natdeg_score_cache,RealIAD natural-degradation cache,POINTER - do not duplicate
mvtec3d_score_cache,experiments/fusion/mvtec3d_score_cache,MVTec-3D score cache,POINTER - do not duplicate
3d_adam_score_cache,experiments/fusion/3d_adam_score_cache,3D-ADAM score cache,POINTER - do not duplicate
mulsen_score_cache,experiments/fusion/mulsen_score_cache,MulSen-AD score cache,POINTER - do not duplicate
